collocation,count,count_nested,length,lambda,z
be broken,2,0,2,3.2203576050950025,4.607731871053121
be heard,2,0,2,3.2203576050950025,4.607731871053121
be treated,2,0,2,3.2203576050950025,4.607731871053121
@foxnews by,2,0,2,3.0424299408833457,4.607069399346278
tax law,2,0,2,2.9927477258693864,4.602743918924941
must vote,2,0,2,2.988996205106708,4.599677360980816
is booming,2,0,2,3.809229296881578,4.597269172373338
is wise,2,0,2,3.809229296881578,4.597269172373338
and now,16,0,2,1.1926370208177306,4.596835282821681
address the,5,0,2,2.4642102723654133,4.596821958429733
lead the,5,0,2,2.4642102723654133,4.596821958429733
leading the,5,0,2,2.4642102723654133,4.596821958429733
think it,2,0,2,3.0428889973277746,4.596782608678424
favor of,9,0,2,6.670069773617447,4.596416647373921
rid of,9,0,2,6.670069773617447,4.596416647373921
on russia,6,0,2,1.8744943374922394,4.596401416763032
will repeal,3,0,2,2.6311065086906256,4.595451924458814
so general,2,0,2,3.0325226484783805,4.5922379727036144
with putin,2,0,2,3.26679987226573,4.5898848876373375
money to,7,0,2,1.8468672414449236,4.589781418385847
they look,3,0,2,2.5512246124134945,4.58928571881134
media never,2,0,2,2.974563238612361,4.5891312719072745
very tough,2,0,2,3.022984737381622,4.587465872931334
news put,2,0,2,2.990727093673194,4.585926124666686
fair to,5,0,2,2.2434851300578824,4.585484070288344
are already,3,0,2,2.6118047507501356,4.582787026773108
#uswomensopen in,2,0,2,4.100561205638444,4.582266822636138
WIN in,2,0,2,4.100561205638444,4.582266822636138
investing in,2,0,2,4.100561205638444,4.582266822636138
living in,2,0,2,4.100561205638444,4.582266822636138
loopholes in,2,0,2,4.100561205638444,4.582266822636138
mandate in,2,0,2,4.100561205638444,4.582266822636138
opponent in,2,0,2,4.100561205638444,4.582266822636138
role in,2,0,2,4.100561205638444,4.582266822636138
runoff in,2,0,2,4.100561205638444,4.582266822636138
to germany,4,0,2,2.6237508877264766,4.582061520323392
pray for,5,0,2,6.7687522285653055,4.5813704372896344
thankful for,5,0,2,6.7687522285653055,4.5813704372896344
and louisiana,3,0,2,3.794383223267607,4.580700507399528
and replace,3,0,2,3.794383223267607,4.580700507399528
prosperity for,2,0,2,3.412177678481826,4.5806718230461865
losing the,6,0,2,2.1419094105560785,4.580640179802473
take back,2,0,2,2.973132477698127,4.57991306402414
us back,2,0,2,2.973132477698127,4.57991306402414
do you,5,0,2,2.0014309731671034,4.578032088245616
my stance,2,0,2,7.095657956177806,4.57724083644158
CNN is,3,0,2,2.7117260568602504,4.576370280116618
means that,2,0,2,3.1564652012349415,4.5763507320268815
secure the,4,0,2,3.2618751968428508,4.5755114565476545
@nbcnews is,2,0,2,3.6112891336125372,4.574896753575952
NAFTA is,2,0,2,3.6112891336125372,4.574896753575952
